Name,M/R,Type,Passive,Q,W,E,R,#1 player,#2 player,#3 player,#4 player,#5 player
Aatrox,M,Fighter/Tank,"Blood Well: When using an ability that costs Health, Aatrox stores the self-inflicted damage into the Blood Well. Upon taking fatal damage, Aatrox extracts the blood from the well and recovers it as Health over a brief duration. Additionally, Aatrox gains 1% Attack Speed for every 2% blood that is in the well.","Dark Flight: Aatrox takes flight and slams down at a targeted location, dealing damage and knocking up enemies at the center of impact for one second. ",Blood Thirst/Blood Price: While toggled on Aatrox deals bonus damage every third subsequent attack at the expense of his own Health. While toggled off Aatrox restores Health every third subsequent attack.,"Blades of Torment: Aatrox unleashes the power of his blade, dealing damage to all enemies hit and slowing them.","Massacre: Aatrox draws in the blood of his foes, damaging all nearby enemy champions around him and gaining increased Attack Speed and bonus Attack Range for a short duration.",PRIME INEFAVEL#AURA,AαrchΦiend#666,하준상#KR1,Zueb#EUW,Tidus エイトロックス#Atrox
Ahri,R,Mage/Assassin,"Essence Theft: Gains a charge of Essence Theft whenever a spell hits an enemy (max: 3 charges per spell). Upon reaching 9 charges, Ahri's next spell heals her whenever it hits an enemy.","Orb of Deception: Ahri sends out and pulls back her orb, dealing magic damage on the way out and true damage on the way back. Ahri gains movement speed that decays while her orb is traveling.","Fox-Fire: Ahri releases three fox-fires, that lock onto and attack nearby enemies.","Charm: Ahri blows a kiss that damages and charms an enemy it encounters, causing them to walk harmlessly towards her.","Spirit Rush: Ahri dashes forward and fires essence bolts, damaging 3 nearby enemies (prioritizes Champions). Spirit Rush can be cast up to three times before going on cooldown.",Finn#6648,하얗고예쁨#KR1,Proosia#nahz,아 리#9199,Pool Party Ahri#Ahri
Akali,M,Assassin,"Twin Disciplines: Discipline of Force: Akali's basic attacks deal an additional 6% bonus Magic Damage, increasing by 1% for every 6 Ability Power.",Mark of the Assassin: Akali spins her kama at a target enemy to deal Magic Damage and mark the target for 6 seconds. Akali's melee attacks against a marked target will trigger and consume the mark to cause additional damage and restore Energy.,"Twilight Shroud: Akali throws down a cover of smoke. While inside the area, Akali becomes invisible and gains a short burst of Movement Speed. Attacking or using abilities will briefly reveal her. Enemies inside the smoke have their Movement Speed reduced.","Crescent Slash: Akali flourishes her kamas, dealing damage based on her Attack Damage and Ability Power.","Shadow Dance: Akali moves through shadows to quickly strike through her target, dealing damage and consuming an Essence of Shadow charge. Akali recharges Essence of Shadow charges both periodically and upon kills and assists, max 3 stacks.",BoostArea#Nett,KalB#KR2,Erosak#br1,savyyor#alex,Princess Akali#sushi
Akshan,,,,,,,,	Phantasm #RANK1,	Afflictive #藍月なくる,Aitsuki Nakuru #藍月なくる,,
Alistar,M,Tank/Support,"Trample: Each time Alistar casts a spell, he tramples nearby units and turrets for a few seconds, dealing damage to units he walks over.","Pulverize: Alistar smashes the ground, dealing damage to all nearby enemies and tossing them into the air for 1.5 seconds. On landing, enemies are stunned.","Headbutt: Alistar rams a target with his head, dealing damage and knocking the target back.","Triumphant Roar: Alistar lets out a commanding war cry, restoring Health to himself and nearby friendly units for half the amount. Can be cast more often if nearby enemies are dying.","Unbreakable Will: Alistar lets out a wild roar, gaining bonus damage, removing all crowd control effects on himself, and reducing incoming physical and magical damage for the duration. (7 seconds)",	T1 구름 #2007,KC Subfry #KCORP,Breezyyy #NA1,말랑은행 #8760,
Ambessa,,,,,,,,	T1 Guardian #KR3,	KDF DuDu #KING1,Mai #Lqh,,
Amumu,M,Tank/Mage,Cursed Touch: Amumu's attacks reduce the target's Magic Resistance for a short duration.,"Bandage Toss: Amumu tosses a sticky bandage at a target, stunning and damaging the target while he pulls himself to them.","Despair: Overcome by anguish, nearby enemies lose a percentage of their maximum Health each second.","Tantrum: Permanently reduces the physical damage Amumu would take. Amumu can unleash his rage, dealing damage to surrounding enemies. Each time Amumu is hit, the cooldown on Tantrum is reduced by 0.5 seconds.","Curse of the Sad Mummy: Amumu entangles surrounding enemy units in bandages, damaging them and rendering them unable to attack or move.",AMUMU1 #KR1,	Hipitero #west,miflond555 #EUW,,
Anivia,R,Mage/Support,"Rebirth: Upon dying, Anivia will revert into an egg. If the egg can survive for six seconds, she is gloriously reborn.","Flash Frost: Anivia brings her wings together and summons a sphere of ice that flies towards her opponents, chilling and damaging anyone in its path. When the sphere explodes it does moderate damage in a radius, stunning anyone in the area (1 second).",Crystallize: Anivia condenses the moisture in the air into an impassable wall of ice to block all movement. The wall only lasts a short duration before it melts (5 seconds).,"Frostbite: With a flap of her wings, Anivia blasts a freezing gust of wind at her target, dealing a medium amount of damage. If the target has been slowed by Flash Frost or Glacial Storm, the damage they take is doubled.",Glacial Storm: Anivia summons a driving rain of ice and hail to damage her enemies and slow their advance.,	青晚ouo #六服王者,	약 오르지 메롱 #KR2,전 세 종 #KR1,,
Annie,R,Mage,"Pyromania: After casting 4 spells, Annie's next offensive spell will stun the target for a short duration.","Disintegrate: Annie hurls a Mana infused fireball, dealing damage and refunding the Mana cost if it destroys the target.","Incinerate: Annie casts a blazing cone of fire, dealing damage to all enemies in the area.",Molten Shield: Increases Annie's Armor and Magic Resist and damages enemies who hit Annie with basic attacks.,"Summon Tibbers: Annie wills her bear Tibbers to life, dealing damage to units in the area. Tibbers can attack and also burns enemies that stand near him (45 Seconds). Tibbers can be controlled by holding the alt key and using the right mouse button or by reactivating this ability.",애LI 어른이LI #KR1,	Irregular #30K,"
吃可爱多长大的 #抖音呀",,
Aphelios,,,,,,,,Antarctica #S B,	BunnyBeast #BUNNY,JDG Ruler Arabe #GOAT,,
Ashe,R,Marksman/Support,"Frost Shot: Ashe's attacks slow their target, causing her to deal increased damage to these targets.","Ranger's Focus: Ashe builds up Focus by attacking. When activated, Ranger's Focus consumes all stacks of Focus to grant Attack Speed and add extra slow to Frost Shot slow for a duration. If enough Focus was consumed, her basic attack is transformed into a powerful flurry attack for the duration.",Volley: Ashe fires 9 arrows in a cone for increased damage. Also applies Frost Shot.,Hawkshot: Ashe sends her Hawk Spirit on a scouting mission anywhere on the map.,"Enchanted Crystal Arrow: Ashe fires a missile of ice in a straight line. If the arrow collides with an enemy Champion, it deals damage and stuns the Champion for up to 3.5 seconds, based on how far the arrow has traveled. In addition, surrounding enemy units take damage and are slowed.",올드앤리치핸섬 #부럽냐,You are amazing #9517,Chill1000 #larry,,
AurelionSol,,,,,,,,flymetothestar #0310,	WSAD player #WASD,SSR player #EUW,,
Aurora,,,,,,,,twtv Peng04 #Aespa,	TT SeTab #2025,	step on me #diane,,
Azir,R,Mage/Marksman,Shurima's Legacy: Azir can summon the Disc of the Sun from the ruins of allied or enemy turrets.,Conquering Sands: Azir sends all Sand Soldiers toward a target location. Sand Soldiers deal magic damage to all targets they pass through and apply a slow for 1 second.,"Arise: Azir summons a Sand Soldier to attack nearby targets for him, replacing his basic attack against targets within the soldier's range. Their attacks deal magic damage to enemies in a line. Arise! also passively grants attack speed to Azir and his Sand Soldiers.","Shifting Sands: Azir dashes to one of his Sand Soldiers, damaging enemies. If he hits an enemy champion, he gains a shield.","Emperor's Divide: Azir summons a wall of soldiers which charge forward, knocking back and damaging enemies.",지 훈 #KJH,asdrwqfsaewqr #asd,Kzykendy #NA1,,
Bard,R,Support/Mage,"Traveler's Call: Bard's presence causes magical chimes to appear, which grant Bard experience, mana, and a burst of speed. Additionally, lesser spirits follow Bard and aid in his attacks - collecting chimes causes these meeps to gain power over the course of the game.","Cosmic Binding: Bard fires a missile which will slow the first enemy struck, and continue onward. If it strikes a wall, it will stun the initial target; if it strikes another enemy, it will stun them both.","Caretaker's Shrine: Reveals a healing shrine which powers up over a short time, disappearing after healing the first ally that touches it. Bard can have up to 3 shrines active at once, which remain until visited by an ally champion or crushed by an enemy champion.",Magical Journey: Bard opens a portal in nearby terrain. Allies and enemies alike can take a one-way trip through that terrain by moving into the portal.,"Tempered Fate: Bard sends spirit energy arcing to a location, putting all champions, minions, monsters, and turrets hit into stasis for a brief time.",Unc Lathy #Bard,	LiL TommyG #EUW,	noobsupp #noob,,
BelVeth,,,,,,,,Afroboi #depu,	MaxouTigrou #BELG,Solded #SOLD,,
